NOME_DO_CURSO,MODALIDADE,TURNO,CIDADE,LOCAL,PRECO,PRECO_COM_DESCONTO
Banco de Dados,TOTAL EAD,VIRTUAL,CHARQUEADAS,CENTRO,436.67,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,CHARQUEADAS,CENTRO,436.67,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,CIDREIRA,CENTRO,394.83,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,CIDREIRA,CENTRO,394.83,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,CIDREIRA,CENTRO,394.83,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,CRUZ ALTA,CENTRO,400.17,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,CRUZ ALTA,CENTRO,400.17,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,CRUZ ALTA,CENTRO,400.17,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,ELDORADO DO SUL,CENTRO,452.0,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,ELDORADO DO SUL,CENTRO,452.0,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,ELDORADO DO SUL,CENTRO,452.0,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,ENTRE-IJUIS,CENTRO,423.0,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,ENTRE-IJUIS,CENTRO,423.0,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,ENTRE-IJUIS,CENTRO,423.0,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,ESTACAO,CENTRO,394.83,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,ESTACAO,CENTRO,394.83,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,ESTACAO,CENTRO,394.83,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,ESTEIO,CENTRO,464.83,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,ESTEIO,CENTRO,464.83,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,ESTEIO,CENTRO,464.83,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,FARROUPILHA,CENTRO,416.17,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,FARROUPILHA,CENTRO,416.17,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,FARROUPILHA,CENTRO,416.17,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,FREDERICO WESTPHALEN,CENTRO,409.0,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,FREDERICO WESTPHALEN,CENTRO,409.0,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,FREDERICO WESTPHALEN,CENTRO,409.0,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,GRAVATAÍ,CENTRO,464.0,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,GRAVATAÍ,CENTRO,464.0,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,GRAVATAÍ,CENTRO,464.0,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,GUAIBA,CENTRO,464.83,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,GUAIBA,CENTRO,464.83,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,GUAIBA,CENTRO,464.83,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,IGREJINHA,CENTRO,459.0,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,IGREJINHA,CENTRO,459.0,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,IGREJINHA,CENTRO,459.0,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,IJUI,CENTRO,438.17,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,IJUI,CENTRO,438.17,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,IJUI,CENTRO,438.17,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,ITAQUI,CENTRO,423.05,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,ITAQUI,CENTRO,423.05,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,ITAQUI,CENTRO,423.05,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,LAGOA VERMELHA,CENTRO,394.83,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,LAGOA VERMELHA,CENTRO,394.83,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,LAGOA VERMELHA,CENTRO,394.83,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,LAJEADO,CENTRO,416.67,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,LAJEADO,CENTRO,416.67,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,LAJEADO,CENTRO,416.67,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,LAVRAS DO SUL,CENTRO,394.83,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,LAVRAS DO SUL,CENTRO,394.83,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,LAVRAS DO SUL,CENTRO,394.83,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,MARAU,CENTRO,423.0,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,MARAU,CENTRO,423.0,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,MARAU,CENTRO,423.0,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,MOSTARDAS,CENTRO,405.17,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,MOSTARDAS,CENTRO,405.17,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,MOSTARDAS,CENTRO,405.17,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,NOVA PRATA,CENTRO,380.67,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,NOVA PRATA,CENTRO,380.67,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,NOVA PRATA,CENTRO,380.67,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,OSORIO,CENTRO,423.05,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,OSORIO,CENTRO,423.05,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,OSORIO,CENTRO,423.05,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,PANAMBI,CENTRO,423.05,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,PANAMBI,CENTRO,423.05,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,PANAMBI,CENTRO,423.05,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,PAROBE,CENTRO,446.5,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,PAROBE,CENTRO,446.5,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,PAROBE,CENTRO,446.5,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,PASSO FUNDO,CENTRO,432.83,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,PASSO FUNDO,CENTRO,432.83,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,PASSO FUNDO,CENTRO,432.83,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,PELOTAS,CENTRO,426.5,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,PELOTAS,CENTRO,426.5,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,PELOTAS,CENTRO,426.5,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,PORTO XAVIER,CENTRO,394.83,139.0
